ИНН, additionaldata,ID компании,Наименование полное,Наименование краткое,Реестр МСП,Вид предпринимательства,Категория субъекта,objecttype,registration_number,patent_type,patent_name,classification,publication URL
591109903980, additionaldata,,,,,,,,,,,,
650102655406, additionaldata,48315026.0,Герасимов Александр Борисович,Герасимов Александр Борисович,,,,,2734921,Изобретение,Способ применения добавки из хлебопекарных дрожжей Saccharomyces cerevisiae к пище в рационе питания спортсменов,A23J   3/20;A23J   1/18,
650102655406, additionaldata,27606701.0,Герасимов Александр Борисович,Герасимов Александр Борисович,,,,,2734921,Изобретение,Способ применения добавки из хлебопекарных дрожжей Saccharomyces cerevisiae к пище в рационе питания спортсменов,A23J   3/20;A23J   1/18,
650102655406, additionaldata,27606701.0,Герасимов Александр Борисович,Герасимов Александр Борисович,,,,,2686810,Изобретение,ДОБАВКА БЕЛКОВАЯ СУШЕНАЯ ИЗ ХЛЕБОПЕКАРНЫХ ДРОЖЖЕЙ SACCHAROMYCES CEREVISIAE,A23J   1/18;A23L  31/10,
650102655406, additionaldata,48315026.0,Герасимов Александр Борисович,Герасимов Александр Борисович,,,,,2686810,Изобретение,ДОБАВКА БЕЛКОВАЯ СУШЕНАЯ ИЗ ХЛЕБОПЕКАРНЫХ ДРОЖЖЕЙ SACCHAROMYCES CEREVISIAE,A23J   1/18;A23L  31/10,
650102655406, additionaldata,27606701.0,Герасимов Александр Борисович,Герасимов Александр Борисович,,,,,2813887,Изобретение,Применение добавки белковой из хлебопекарных дрожжей Saccharomyces cerevisiae в качестве средства для снижения уровня креатинина у животных,,
650102655406, additionaldata,48315026.0,Герасимов Александр Борисович,Герасимов Александр Борисович,,,,,2813887,Изобретение,Применение добавки белковой из хлебопекарных дрожжей Saccharomyces cerevisiae в качестве средства для снижения уровня креатинина у животных,,
773203389991, additionaldata,,,,,,,,,,,,
280401242719, additionaldata,,,,,,,,,,,,
190158106992, additionaldata,,,,,,,,,,,,
503802374786, additionaldata,,,,,,,,,,,,
170104294546, additionaldata,,,,,,,,,,,,
280101468497, additionaldata,,,,,,,,,,,,
382300906127, additionaldata,,,,,,,,,,,,
673008078936, additionaldata,,,,,,,,,,,,
431202264985, additionaldata,,,,,,,,,,,,
312700313399, additionaldata,,,,,,,,,,,,
